Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
edible-fruits-nuts-peel-citrus-fruit-melons,11,26646002 ,34622239 ,22451284 ,29148574 ,43520776 ,40451625 ,33903579 ,34547937 ,30529829 ,29057190 
miscellaneous-edible-preparations,31,23487334 ,23451617 ,33593458 ,22870963 ,42727039 ,32309109 ,35167538 ,38949435 ,36879858 ,41752990 
milling-products-malt-starches-inlin-wheat-glute,31,2881650 ,10826818 ,18553493 ,21669080 ,9934270 ,4864391 ,2524658 ,1523910 ,1779221 ,4084426 
paper-paperboard-articles-pulp-paper-board,31,37035745 ,28647796 ,36721190 ,100418482 ,146290449 ,154819283 ,175743014 ,280218583 ,112170737 ,86366391 
pharmaceutical-products,62,14619094 ,9649065 ,7930237 ,15859741 ,29385419 ,88632294 ,207892731 ,335518626 ,203949836 ,195439377 
carpets-textile-floor-coverings,31,87119 ,108947 ,114709 ,59091 ,247095 ,184137 ,14455 ,15796 ,11854 ,11296 
dairy-products-eggs-honey-edible-products,31,5883555 ,9674229 ,6316591 ,4948080 ,3381802 ,3242006 ,5162380 ,2892228 ,5068844 ,2331254 
meat-fish-seafood-preparations,31,6043072 ,5463246 ,7973189 ,5346896 ,4389399 ,4461668 ,5443846 ,2147426 ,10578731 ,14642456 
printed-books-newspapers-pictures,51,1991832 ,1577801 ,1188853 ,1741575 ,2064972 ,2095711 ,1081959 ,3147621 ,1920022 ,2692311 
oil-seed-oleagic-fruits-grain-seed-fruit,11,2531477158 ,2261285086 ,2365082580 ,2966144927 ,3644646812 ,772869531 ,1402302319 ,1917360245 ,2451097477 ,3839576956 
residues-wastes-food-industry-animal-fodder,11,8276443 ,47933340 ,173601825 ,310058166 ,426486239 ,442306474 ,595392538 ,684605735 ,792508583 ,725100305 
tobacco-manufactures-tobacco-substitutes,31,13940938 ,25712550 ,21899037 ,22856621 ,23643198 ,22998 ,76779 ,11646650 ,14375428 ,17104206 
fish-crustaceans-molluscs-aquatics-invertebrates,11,460846037 ,508638910 ,573663488 ,733182166 ,901643959 ,982368012 ,768695305 ,901569864 ,981897943 ,1050313436 
