Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" Electrical, electronic equipment ",51,12759883096 ,12816619029 ,11920456510 ,13987757868 ,15202678484 ,14629987564 ,13584467875 ,16510033103 ,17959347368 ,15994055289 
" Machinery, nuclear reactors, boilers ",31,10500522080 ,9642964114 ,9251409427 ,10468636457 ,11218921020 ,10980502671 ,11609778423 ,14024553583 ,15412514403 ,13549336797 
"Vehicles other than railway, tramway",44,1660497181 ,1757783929 ,1636449957 ,1898660079 ,1985849281 ,1991642024 ,1844916555 ,2673505823 ,3204636957 ,4304424669 
"Furniture, lighting signs, prefabricated buildings",31,2999998641 ,2872048746 ,2961409729 ,3299176977 ,3443596677 ,3454856477 ,3398744320 ,4365900554 ,4295383018 ,3429436167 
"Toys, games, sports requisites",44,2762325749 ,2743264426 ,2551759358 ,2715673703 ,2816995556 ,2623002515 ,2659086835 ,3555544865 ,3550606743 ,2889641072 
Plastics,31,1839472520 ,1779039987 ,1751840480 ,2012622782 ,2197659758 ,2234430019 ,2594827229 ,3205193893 ,3407760193 ,2795551260 
Articles of iron or steel,31,2176528568 ,1973492602 ,1591914496 ,1929403439 ,2152631301 ,2066443383 ,1875817386 ,2818873251 ,3520416404 ,2566318295 
"Articles of apparel, knit or crocheted",44,2113680400 ,1992667014 ,1818233048 ,1873803663 ,1888418433 ,1800806475 ,1333746712 ,1745059203 ,2107898753 ,1736291696 
"Articles of apparel, not knit or crocheted",44,1994952439 ,1908012066 ,1749537529 ,1771769577 ,1838399352 ,1737844415 ,1906296146 ,1356491367 ,1664729597 ,1460007476 
"Optical, photo, technical, medical apparatus",51,1042067829 ,1073229892 ,1070698659 ,1169843912 ,1228952896 ,1172490486 ,1146538446 ,1459960509 ,1578396701 ,1416841981 
Aluminum,31,471138841 ,511590594 ,486321279 ,566253501 ,715735122 ,677193111 ,738107410 ,1148232573 ,1384060921 ,1003295209 
Organic chemicals,31,495237488 ,460481151 ,464364921 ,581527072 ,642704166 ,633043265 ,633514838 ,885279011 ,1165691003 ,893281153 
Rubbers,31,756316059 ,711722496 ,659640351 ,792139096 ,843566927 ,792570612 ,1042206620 ,1467468654 ,1081899882 ,874254959 
"Footwear, gaiters and the like, parts",44,1519482649 ,1445191731 ,1223209893 ,1215452505 ,1154064498 ,1037615050 ,667383120 ,733795108 ,1090831371 ,854001733 
"Articles of leather, animal gut, harness, travel good",31,1066677229 ,1002588460 ,890200634 ,914243031 ,918082496 ,861192813 ,599856067 ,636093265 ,885079541 ,832911119 
Miscellaneous articles of base metal,31,545404017 ,563930293 ,569861702 ,603784723 ,653991128 ,646314234 ,626384163 ,822374017 ,912747522 ,699697909 
"Other made textile articles, sets, worn clothing",31,653247535 ,609754420 ,573996456 ,628085031 ,657508260 ,664690010 ,2534288280 ,1116430088 ,914592137 ,669239318 
"Tools, implements, cutlery of base metal",31,575673363 ,570650486 ,517857269 ,545059171 ,597124414 ,578909256 ,602901383 ,739218733 ,796028310 ,621760784 
"Paper and paperboard, articles of pulp, paper and board",31,396302268 ,398095418 ,393250062 ,435840430 ,461892966 ,480745584 ,514200979 ,476997929 ,674310189 ,619132116 
Miscellanneous manufactured articles,31,342871573 ,357139598 ,365889373 ,405172682 ,428037017 ,467512533 ,453951434 ,542184059 ,675284611 ,617279044 
"Wood and articles of wood, wood charcoal",31,583129533 ,533787102 ,538392188 ,553206411 ,580991234 ,531477218 ,500418152 ,753538737 ,772658247 ,602583149 
Iron and steel,31,446692806 ,337046579 ,383984671 ,535529109 ,528829237 ,266351500 ,223459500 ,552878439 ,611480922 ,570473318 
Glass and glassware,31,453499511 ,467615581 ,463555845 ,524644353 ,537226105 ,513289171 ,502516731 ,643815464 ,612262343 ,542397843 
Ceramic products,31,408730793 ,399786233 ,380982211 ,432293830 ,427941476 ,419909748 ,347437794 ,457303586 ,503069507 ,386433836 
Miscellaneous chemical products,31,114203790 ,125607383 ,104450807 ,118312187 ,190852166 ,218563238 ,564170163 ,525792836 ,1491986318 ,340510189 
"Aircraft, spacecraft",44,90183339 ,130216156 ,154795794 ,180518675 ,188011220 ,303342565 ,225174240 ,220368696 ,344427205 ,333451588 
"Base metals not specified elsewhere, cermets",31,194432840 ,172931917 ,163299525 ,192837028 ,222015945 ,223840566 ,140096650 ,245711702 ,559563236 ,324486073 
"Fish, crustaceans, molluscs, aquatics invertebrates",11,351944163 ,310200471 ,341880707 ,362818229 ,357476899 ,385786309 ,318842761 ,335138729 ,440681613 ,315885548 
Tobacco and manufactures tobacco substitutes,31,1396759 ,1294637 ,2465196 ,3831181 ,2048789 ,4642994 ,626580 ,216935 ,99994262 ,297134039 
"Printed books, newspapers, pictures",51,310982225 ,290322929 ,300055038 ,340662170 ,296050087 ,289437129 ,253406535 ,307837032 ,320664954 ,291376745 
