All _Im,China_Im,All_Ex,China_Ex,All_T,China_T
"39,508.20","2,575.90","38,695.70","1,909.10",-812.5,-666.8
"40,214.90","2,609.50","39,588.30","1,996.40",-626.7,-613.2
"40,246.40","2,398.10","40,146.00","1,893.20",-100.3,-504.9
"40,753.90","2,521.90","40,669.60","1,790.50",-84.3,-731.5
"40,485.30","2,643.60","39,744.50","1,807.20",-740.8,-836.4
"40,007.70","2,644.10","39,640.50","1,620.20",-367.3,"-1,024.00"
"40,345.70","2,600.20","38,770.20","1,558.30","-1,575.50","-1,041.80"
"41,502.10","2,712.40","40,775.30","1,724.90",-726.8,-987.5
"41,113.80","2,728.70","41,156.80","1,853.10",43,-875.7
"40,726.30","2,778.50","40,424.60","2,031.10",-301.6,-747.4
"41,458.70","2,875.70","40,259.50","2,031.80","-1,199.20",-843.9
"41,396.90","2,855.20","40,646.20","1,815.20",-750.7,"-1,040.00"
"41,334.20","2,807.80","40,542.90","1,599.30",-791.3,"-1,208.50"
"42,647.00","2,876.30","43,295.50","1,557.10",648.5,"-1,319.20"
"42,944.60","2,916.20","44,537.40","1,653.10","1,592.70","-1,263.20"
"43,410.00","3,100.60","43,795.10","1,802.50",385.1,"-1,298.10"
"44,711.20","3,135.50","45,355.50","1,803.00",644.3,"-1,332.50"
"43,526.80","2,869.40","45,242.30","1,797.60","1,715.50","-1,071.90"
"43,656.80","2,743.20","45,422.80","1,764.20","1,766.00",-978.9
"43,868.20","2,915.00","44,859.90","1,799.80",991.6,"-1,115.10"
"44,399.60","3,008.90","45,070.10","1,787.00",670.5,"-1,221.80"
"45,238.90","3,130.90","45,116.70","1,738.70",-122.1,"-1,392.30"
"44,462.70","3,037.30","43,738.40","1,519.30",-724.3,"-1,518.00"
"44,851.80","3,028.70","43,652.10","1,645.00","-1,199.70","-1,383.70"
"44,724.40","3,356.00","42,367.20","1,600.10","-2,357.20","-1,755.80"
"44,587.70","3,107.00","42,932.60","1,748.60","-1,655.00","-1,358.40"
"46,597.30","4,138.90","43,273.70","1,682.80","-3,323.50","-2,456.10"
"45,306.30","3,056.90","42,996.20","2,028.40","-2,310.10","-1,028.50"
"45,176.20","2,982.80","42,598.90","1,692.10","-2,577.30","-1,290.70"
"45,283.90","2,998.10","44,943.90","1,826.60",-340,"-1,171.50"
"46,058.30","3,198.00","45,674.30","1,936.60",-384,"-1,261.40"
"46,393.50","3,280.50","44,856.20","1,910.60","-1,537.30","-1,369.90"
"46,385.50","3,359.60","44,452.40","1,753.60","-1,933.10","-1,606.00"
"45,797.60","3,217.80","43,458.70","1,748.30","-2,338.90","-1,469.50"
"46,237.60","3,138.30","43,153.70","1,766.50","-3,083.90","-1,371.80"
"46,516.40","3,129.20","44,605.30","1,724.40","-1,911.00","-1,404.80"
"46,825.30","3,251.20","45,518.40","1,967.00","-1,306.80","-1,284.20"
"46,555.00","3,408.00","43,349.70","1,982.50","-3,205.20","-1,425.50"
"44,744.30","3,095.40","41,507.40","1,705.00","-3,236.90","-1,390.40"
"44,638.70","2,988.50","41,552.40","1,721.70","-3,086.30","-1,266.80"
"44,529.70","2,985.80","40,944.80","1,696.90","-3,584.80","-1,288.90"
"44,896.40","3,062.40","41,120.50","1,747.20","-3,776.00","-1,315.20"
"44,611.10","3,000.40","43,174.40","1,842.60","-1,436.70","-1,157.80"
"45,670.00","3,123.10","44,151.30","2,015.40","-1,518.70","-1,107.70"
"48,036.70","3,012.00","44,001.00","1,724.20","-4,035.80","-1,287.80"
"45,793.60","3,435.00","44,407.90","1,832.70","-1,385.70","-1,602.20"
"45,383.20","3,133.80","46,456.40","2,028.30","1,073.20","-1,105.60"
"45,665.20","3,165.50","46,116.70","2,083.00",451.5,"-1,082.50"
"47,072.30","3,249.70","46,977.10","2,355.10",-95.2,-894.6
"47,370.90","3,508.90","46,110.40","2,091.00","-1,260.50","-1,417.90"
"47,440.70","3,494.00","46,769.30","2,277.50",-671.4,"-1,216.50"
"48,440.80","3,633.40","47,390.30","2,039.30","-1,050.50","-1,594.10"
"49,569.30","3,706.50","47,988.40","1,924.80","-1,580.90","-1,781.80"
"49,270.40","3,705.00","45,712.00","1,971.30","-3,558.40","-1,733.60"
"46,754.80","3,566.10","43,807.00","2,020.30","-2,947.80","-1,545.80"
"46,485.60","3,464.70","43,560.10","1,928.10","-2,925.50","-1,536.70"
"46,931.00","3,379.40","43,763.80","2,124.00","-3,167.20","-1,255.40"
"46,322.40","3,421.50","44,638.00","2,006.00","-1,684.40","-1,415.50"
"49,354.50","3,827.40","46,728.90","2,153.00","-2,625.60","-1,674.30"
"50,011.60","3,775.70","47,079.40","2,101.60","-2,932.20","-1,674.10"
"47,927.00","3,530.90","46,068.90","1,795.50","-1,858.10","-1,735.40"
"48,910.10","3,646.50","46,806.10","2,146.30","-2,104.00","-1,500.10"
"51,677.20","4,324.00","48,208.00","2,118.10","-3,469.20","-2,205.80"
"50,496.20","3,681.50","49,008.90","2,299.60","-1,487.40","-1,381.90"
"51,479.90","4,015.90","49,014.30","2,320.40","-2,465.60","-1,695.50"
"51,933.30","3,845.60","51,684.60","2,224.10",-248.7,"-1,621.50"
"51,547.00","3,866.30","51,481.60","2,323.40",-65.4,"-1,542.90"
"51,086.70","3,689.10","50,585.90","2,265.70",-500.8,"-1,423.40"
"51,191.10","3,938.40","50,664.20","2,805.30",-526.9,"-1,133.10"
"50,427.90","3,801.30","50,226.30","2,952.80",-201.5,-848.4
"50,126.30","3,870.20","47,003.30","2,786.80","-3,123.00","-1,083.40"
"51,167.50","4,147.30","45,412.50","2,827.00","-5,755.00","-1,320.30"
"51,926.70","4,377.30","47,883.20","2,045.20","-4,043.50","-2,332.10"
"51,367.00","4,099.50","48,221.50","2,211.90","-3,145.60","-1,887.60"
"52,668.80","4,427.50","50,285.30","2,000.40","-2,383.50","-2,427.10"
"51,881.70","4,121.20","50,781.90","2,132.00","-1,099.80","-1,989.30"
"52,710.30","3,864.30","52,395.20","2,124.10",-315.1,"-1,740.10"
"51,107.70","3,874.40","49,835.90","2,048.50","-1,271.80","-1,825.90"
"51,110.90","3,726.90","49,445.40","1,831.30","-1,665.50","-1,895.60"
"51,834.20","3,627.10","50,262.50","2,108.10","-1,571.70","-1,519.00"
"50,508.80","3,839.20","49,632.70","2,018.20",-876.1,"-1,821.00"
"50,295.00","3,564.90","48,968.80","1,726.30","-1,326.20","-1,838.60"
"49,606.90","3,524.20","48,703.40","1,790.80",-903.5,"-1,733.40"
"49,379.40","3,865.20","49,183.60","2,120.00",-195.7,"-1,745.20"
"50,376.90","3,407.60","47,575.30","1,946.90","-2,801.60","-1,460.80"
"50,809.00","3,227.00","47,859.60","1,909.50","-2,949.40","-1,317.50"
"48,435.20","3,001.30","43,878.80","1,731.00","-4,556.30","-1,270.40"
"37,238.00","4,174.50","31,699.50","2,137.30","-5,538.50","-2,037.20"
"36,010.00","4,537.20","34,109.00","2,439.10","-1,901.00","-2,098.10"
"43,578.10","4,435.50","40,955.60","2,387.40","-2,622.60","-2,048.10"
"47,847.20","4,449.10","44,625.30","2,406.90","-3,221.80","-2,042.20"
"48,580.10","4,545.80","45,176.80","2,271.80","-3,403.40","-2,274.00"
"49,910.90","3,818.80","45,930.20","2,291.60","-3,980.70","-1,527.20"
"50,187.20","4,703.60","46,242.40","2,179.20","-3,944.80","-2,524.50"
"50,412.10","4,847.20","46,827.60","2,075.60","-3,584.50","-2,771.60"
"49,738.70","4,544.10","47,596.00","2,423.30","-2,142.70","-2,120.90"
"51,138.90","4,529.30","52,202.70","2,571.20","1,063.80","-1,958.10"
"49,925.90","4,413.50","50,638.20","2,408.70",712.2,"-2,004.80"
"52,044.10","5,536.60","50,232.60","2,481.30","-1,811.60","-3,055.30"
"50,070.60","4,637.60","50,000.60","2,436.40",-70,"-2,201.20"
"51,586.90","4,712.40","49,121.10","2,449.10","-2,465.80","-2,263.30"
"51,497.50","4,410.10","52,475.90","2,514.70",978.4,"-1,895.40"
"52,975.20","4,020.70","52,884.20","2,203.20",-90.9,"-1,817.50"
"52,830.60","4,706.90","53,774.10","2,307.80",943.5,"-2,399.10"
"52,005.40","4,775.00","52,891.10","2,269.80",885.6,"-2,505.20"
"54,447.30","5,141.30","56,118.80","2,688.00","1,671.60","-2,453.30"
"56,192.20","4,853.30","58,609.60","2,267.70","2,417.30","-2,585.60"
